date,cases,deaths,cases_minsa,deaths_minsa
2020-03-18,3,0,1,0
2020-03-19,20,0,1,0
2020-03-20,36,0,2,1
2020-03-21,46,0,2,1
2020-03-22,47,0,2,1
2020-03-23,56,0,2,1
2020-03-24,70,0,2,1
2020-03-25,78,0,2,1
2020-03-27,86,1,4,1
2020-03-28,90,1,4,1
2020-03-29,101,2,4,1
2020-03-30,105,2,4,1
2020-03-31,123,2,5,1
2020-04-01,132,2,5,1
2020-04-02,152,3,5,1
2020-04-03,159,4,5,1
2020-04-04,185,4,5,1
2020-04-05,188,5,6,1
2020-04-06,201,5,6,1
2020-04-07,208,6,6,1
2020-04-08,212,6,6,1
2020-04-09,219,7,7,1
2020-04-10,227,7,7,2
2020-04-11,232,7,9,2
2020-04-12,235,7,9,2
2020-04-13,252,9,9,2
2020-04-14,260,10,9,2
2020-04-15,262,11,9,2
2020-04-16,270,12,9,2
2020-04-17,271,13,9,2
2020-04-18,302,16,9,2
2020-04-19,308,16,9,2
2020-04-20,317,17,10,3
2020-04-21,328,19,10,3
2020-04-22,336,21,10,3
2020-04-23,349,23,11,3
2020-04-24,358,24,11,3
2020-04-25,382,30,12,3
2020-04-26,388,33,13,3
2020-04-27,408,36,13,3
2020-04-28,436,39,13,3
2020-04-29,463,42,14,4
2020-04-30,474,43,14,4
2020-05-01,488,45,14,4
2020-05-02,532,52,14,4
2020-05-03,646,60,15,5
2020-05-04,740,63,15,5
2020-05-05,796,67,16,5
2020-05-06,830,70,16,5
2020-05-07,904,90,16,5
2020-05-08,978,122,16,5
2020-05-09,1082,165,16,5
2020-05-10,1122,179,16,5
2020-05-11,1213,199,25,5
2020-05-12,1287,216,25,8
2020-05-13,1376,239,25,8
2020-05-14,1500,254,25,8
2020-05-15,1604,275,25,8
2020-05-16,1712,308,25,8
2020-05-17,1852,330,25,8
2020-05-18,2014,351,25,8
2020-05-19,2112,388,279,17
2020-05-20,2233,410,279,17
2020-05-21,2354,454,279,17
2020-05-22,2537,506,279,17
2020-05-23,2623,540,279,17
2020-05-24,2700,565,279,17
2020-05-25,2860,619,279,17
2020-05-26,2997,652,759,35
2020-05-27,3213,732,759,35
2020-05-28,3355,773,759,35
2020-05-29,3452,804,759,35
2020-05-30,3613,848,759,35
2020-05-31,3758,886,759,35
2020-06-01,3943,945,759,35
2020-06-02,4065,984,759,35
2020-06-03,4186,1025,1118,46
2020-06-04,4398,1093,1118,46
2020-06-05,4549,1130,1118,46
2020-06-06,4624,1158,1118,46
2020-06-07,4737,1206,1118,46
2020-06-08,4880,1255,1118,46
2020-06-09,4964,1274,1464,55
2020-06-10,5054,1296,1464,55
2020-06-11,5165,1334,1464,55
2020-06-12,5310,1376,1464,55
2020-06-13,5391,1402,1464,55
2020-06-14,5529,1439,1464,55
2020-06-15,5647,1469,1464,55
2020-06-16,5835,1535,1823,64
2020-06-17,5957,1561,1823,64
